,price,kms_driven,owner,age,power,brand
0,35000,17654,First Owner,3,110,TVS
1,119900,11000,First Owner,4,350,Royal Enfield
2,600000,110,First Owner,8,675,Triumph
3,65000,16329,First Owner,4,180,TVS
4,80000,10000,First Owner,3,150,Yamaha
5,53499,25000,First Owner,6,150,Yamaha
6,85000,8200,First Owner,3,160,Honda
7,45000,12645,First Owner,3,100,Hero
8,145000,9190,First Owner,3,350,Royal Enfield
9,88000,19000,Second Owner,7,500,Royal Enfield
10,72000,20000,First Owner,7,150,Yamaha
11,95000,9665,First Owner,4,250,Yamaha
12,78000,9900,First Owner,4,200,Bajaj
13,29499,20000,First Owner,8,100,Bajaj
14,29900,20000,First Owner,7,125,Bajaj
15,90000,11574,First Owner,3,200,Bajaj
16,120000,23000,First Owner,3,200,Bajaj
17,48000,24725,First Owner,5,150,Suzuki
18,240000,15025,Second Owner,3,302,Benelli
22,46500,3500,First Owner,2,110,Hero
23,121700,24520,First Owner,5,500,Royal Enfield
24,45000,23000,First Owner,6,150,Yamaha
26,20000,29305,First Owner,16,125,Hero
27,20800,30500,Second Owner,7,125,Honda
28,50000,19000,First Owner,8,150,Bajaj
29,81200,9100,First Owner,2,160,Honda
30,88000,21914,First Owner,3,200,Bajaj
31,80000,20000,Second Owner,4,150,Yamaha
32,40900,15000,First Owner,6,220,Bajaj
33,180000,17700,First Owner,4,390,KTM
34,40000,30000,First Owner,8,150,Honda
35,70000,100000,Second Owner,8,200,KTM
36,98800,39000,First Owner,5,350,Royal Enfield
37,65000,43000,First Owner,6,150,Honda
38,190500,4550,First Owner,2,500,Royal Enfield
39,179000,3400,First Owner,2,200,KTM
40,70000,45000,First Owner,8,350,Royal Enfield
41,45000,36100,First Owner,6,220,Bajaj
42,78000,8500,First Owner,13,350,Royal Enfield
43,110000,2550,First Owner,2,220,Bajaj
44,85000,18000,First Owner,6,350,Royal Enfield
45,38000,35000,First Owner,9,200,Bajaj
46,55346,38000,First Owner,10,350,Royal Enfield
47,28000,45000,First Owner,2,110,Mahindra
48,37000,10800,First Owner,8,150,Hero
49,97000,4400,First Owner,3,150,Suzuki
50,40000,357000,First Owner,8,150,Yamaha
51,90000,15300,First Owner,7,350,Royal Enfield
52,60000,30000,First Owner,5,160,TVS
53,21900,30000,Second Owner,7,125,Honda
54,40000,64000,First Owner,7,220,Bajaj
55,475000,11500,Second Owner,3,600,Benelli
56,34500,17056,First Owner,5,110,Honda
57,25000,172082,First Owner,9,150,Yamaha
58,30200,45000,First Owner,7,150,Suzuki
59,65000,35000,First Owner,5,220,Bajaj
60,25000,38000,First Owner,9,150,Bajaj
61,935000,2500,First Owner,2,900,Kawasaki
62,107100,15438,Second Owner,3,350,Royal Enfield
63,80000,6000,First Owner,3,220,Bajaj
64,88000,19000,First Owner,5,350,Royal Enfield
65,94700,32700,First Owner,4,200,KTM
66,12200,46643,First Owner,14,100,Hero
67,106000,19000,First Owner,6,350,Royal Enfield
68,29500,40700,First Owner,12,220,Bajaj
69,290000,11350,First Owner,7,650,Kawasaki
70,110000,1600,First Owner,6,350,Royal Enfield
71,27000,44410,First Owner,10,125,Bajaj
72,65000,9800,First Owner,11,350,Royal Enfield
73,150000,15000,First Owner,3,350,Royal Enfield
74,55786,68000,Second Owner,7,223,Hero
75,45000,17757,First Owner,8,180,Bajaj
76,146000,3900,First Owner,2,250,Yamaha
77,115000,23700,First Owner,4,350,Royal Enfield
78,30000,8250,First Owner,3,100,Bajaj
79,93100,10000,First Owner,5,200,Bajaj
80,82000,4300,Second Owner,3,150,Yamaha
